id,PageRank
1,0.00013899667335073247
2,2.8353484335078545e-05
4098,2.83324307704172e-06
4,3.713483090635882e-05
3,4.494542900692716e-06
6,1.3565733411861798e-05
7,4.831186180976624e-05
8,3.141577528405871e-06
9,1.480059983631048e-06
10,5.056729739309834e-06
4107,2.193419711352855e-05
13,1.0004962089304294e-05
2063,1.480059983631048e-06
4112,1.480059983631048e-06
17,1.3565733411861798e-05
16,3.3952121945350107e-06
19,1.480059983631048e-06
2067,1.0124912587811964e-05
21,8.692544124523901e-06
2070,1.3305059000195135e-05
20,2.1868625724512152e-06
23,1.281033311907619e-05
4121,1.480059983631048e-06
2073,1.480059983631048e-06
4119,2.2088614892453957e-06
2076,5.73505702246252e-06
25,6.94375665751561e-05
29,1.776930596272321e-06
2078,3.983845718448825e-06
2080,1.9593953849436316e-05
33,1.7126540194340514e-05
2082,7.728896299535689e-06
35,3.598322609407076e-05
2079,2.8936651612713835e-06
39,2.8497520906358285e-05
2087,1.480059983631048e-06
41,1.4774599678241261e-05
4136,1.480059983631048e-06
4141,1.480059983631048e-06
45,2.893665161271384e-06
4144,4.718793397412635e-06
51,3.1953296633414775e-05
4150,1.480059983631048e-06
57,3.362592692252974e-05
60,1.6312345112136482e-05
61,1.480059983631048e-06
62,4.494542900692716e-06
2110,4.644958024710738e-06
64,1.6654719111410762e-05
4163,1.480059983631048e-06
4164,1.480059983631048e-06
2118,5.505185134755662e-05
71,1.480059983631048e-06
4168,1.480059983631048e-06
4172,6.925394333050575e-05
2125,2.4140961723787083e-05
2127,5.349977561513885e-06
80,1.480059983631048e-06
2128,1.480059983631048e-06
81,2.893665161271383e-06
2132,1.480059983631048e-06
4181,3.195329663341472e-05
88,1.480059983631048e-06
93,3.141577528405871e-06
2142,1.7156608465711033e-06
2144,1.480059983631048e-06
101,2.186862572451216e-06
4198,3.1953296633414985e-05
4197,5.014072927731888e-06
104,8.197442704028523e-06
4205,3.1953296633415744e-05
2158,1.833461278041132e-06
111,3.1953296633414965e-05
109,2.1868625724512152e-06
113,1.480059983631048e-06
4212,1.480059983631048e-06
2165,9.26599771678563e-06
119,5.3242295152941045e-06
2167,9.405483563755292e-06
4217,2.8936651612713822e-06
4219,1.480059983631048e-06
2173,1.776930596272321e-06
2174,1.480059983631048e-06
127,4.023551387086665e-06
2176,6.8168180924692805e-06
4226,1.480059983631048e-06
132,1.480059983631048e-06
134,1.8334612780411317e-06
135,9.556793786254461e-06
4235,3.568816818402195e-06
2188,6.1391169341600825e-06
4237,1.480059983631048e-06
4238,4.718793397412635e-06
143,2.8658058455653446e-06
144,0.00011742202596525907
4240,1.480059983631048e-06
149,1.480059983631048e-06
4245,1.480059983631048e-06
2198,4.236331001501239e-06
2200,2.804389478201479e-06
159,4.3072703389117175e-06
160,3.118715713648323e-06
4257,5.976818145540021e-06
4261,8.68189345136171e-06
2214,3.9853361261679655e-06
167,9.049388803504833e-06
4266,1.480059983631048e-06
178,5.263754931106933e-06
2230,1.881761658995993e-05
184,3.1953296633414863e-05
4281,1.480059983631048e-06
2240,1.480059983631048e-06
2241,3.195329663341509e-05
192,2.893665161271384e-06
4291,3.33399829886083e-05
197,1.3565733411861798e-05
198,4.158956264865498e-06
2246,8.525772243321172e-06
200,4.513590053769542e-05
201,2.893665161271384e-06
202,0.00012469043877648745
4301,1.480059983631048e-06
4304,1.480059983631048e-06
4308,1.480059983631048e-06
2262,2.8936651612713835e-06
215,1.4439303480920236e-05
2266,2.1868625724512152e-06
219,1.480059983631048e-06
223,1.121246962676055e-05
224,1.480059983631048e-06
4320,5.324229515294099e-06
4322,1.480059983631048e-06
230,2.0011155768314228e-05
2284,2.893665161271384e-06
237,1.480059983631048e-06
241,1.694035328485289e-05
242,3.195329663341504e-05
245,1.795796432933901e-05
2296,3.814967991905368e-06
249,9.576881501591335e-06
4348,2.984663033735384e-06
2303,1.480059983631048e-06
256,2.893665161271384e-06
2305,3.74199093258521e-05
4354,2.8332430770417195e-06
4353,1.480059983631048e-06
257,1.7087583459354216e-05
4356,2.984663033735384e-06
2311,1.480059983631048e-06
2313,5.017384249074614e-05
4365,1.480059983631048e-06
270,3.195329663341518e-05
4367,1.480059983631048e-06
4369,1.480059983631048e-06
278,2.8936651612713827e-06
279,1.480059983631048e-06
280,3.1953296633415304e-05
283,5.324229515294108e-06
284,4.023551387086665e-06
2342,3.195329663341502e-05
2344,1.480059983631048e-06
4393,4.18642617045239e-06
2347,1.3442430285616927e-05
300,3.195329663341505e-05
4395,3.195329663341499e-05
4396,3.195329663341485e-05
2349,1.3020803564366564e-05
304,1.2567109536206374e-05
4400,4.644049154862513e-06
309,2.50589418112216e-06
313,1.480059983631048e-06
4415,1.480059983631048e-06
2370,3.1953296633414945e-05
4421,1.480059983631048e-06
2377,3.339252992914197e-05
330,1.480059983631048e-06
340,1.480059983631048e-06
2388,3.6224666668857314e-06
342,5.7385006070435e-06
353,1.480059983631048e-06
2404,2.893665161271384e-06
2409,1.480059983631048e-06
361,9.154803394727141e-05
363,4.158956264865506e-06
4458,1.480059983631048e-06
2419,1.8334612780411332e-06
2427,2.893665161271384e-06
4482,2.893665161271384e-06
2437,2.8936651612713835e-06
2438,1.3317674177007836e-05
395,4.457110763155806e-06
397,1.480059983631048e-06
2451,1.480059983631048e-06
4499,9.920845312756046e-06
410,1.480059983631048e-06
415,1.3757549157802498e-05
418,3.195329663341501e-05
4515,3.801414374213651e-06
2470,1.480059983631048e-06
4519,1.480059983631048e-06
2472,1.480059983631048e-06
425,7.506841161211655e-06
4521,1.480059983631048e-06
4522,1.7156608465711037e-06
4524,1.480059983631048e-06
4531,1.480059983631048e-06
2484,2.893665161271384e-06
2485,9.262443692466582e-06
2495,3.195329663341538e-05
448,2.8658058455653446e-06
4546,3.5898959270095146e-06
451,3.195329663341501e-05
2498,8.210310653556577e-06
4549,1.480059983631048e-06
4553,1.480059983631048e-06
2507,1.480059983631048e-06
4559,4.3072703389117175e-06
2512,1.480059983631048e-06
465,5.324229515294093e-06
468,1.480059983631048e-06
2516,1.480059983631048e-06
4569,2.186862572451215e-06
2523,1.480059983631048e-06
475,2.0233656513069173e-06
4573,1.480059983631048e-06
481,1.2948838308037402e-05
4579,1.480059983631048e-06
484,2.8936651612713835e-06
486,1.480059983631048e-06
489,3.195329663341489e-05
490,3.141577528405871e-06
492,6.1447258664915225e-06
2540,1.480059983631048e-06
4590,1.480059983631048e-06
4591,1.480059983631048e-06
4592,1.480059983631048e-06
493,1.776930596272321e-06
4594,1.480059983631048e-06
499,3.195329663341492e-05
500,7.676075354902372e-06
2549,1.480059983631048e-06
2543,2.893665161271383e-06
2548,3.5304735974892926e-06
4604,2.893665161271384e-06
4609,1.480059983631048e-06
4611,9.226263899916405e-06
4612,1.480059983631048e-06
518,3.1953296633415284e-05
2567,6.270647798669915e-05
520,1.480059983631048e-06
2566,3.138022230319551e-05
2568,6.271966290991946e-05
2569,1.480059983631048e-06
4615,1.480059983631048e-06
2570,2.1168684198489416e-06
2574,4.638483759587283e-06
523,2.893665161271384e-06
2571,2.753676856066835e-06
529,3.195329663341494e-05
530,2.1868625724512152e-06
533,1.480059983631048e-06
534,2.804389478201478e-06
4631,1.480059983631048e-06
535,1.776930596272321e-06
2585,2.1868625724512152e-06
537,4.718793397412635e-06
4635,6.76445692132303e-06
540,3.4127018092641913e-06
4639,2.8043894782014777e-06
2592,1.480059983631048e-06
545,2.8936651612713835e-06
546,4.2179946558418236e-06
547,3.1953296633415175e-05
548,2.3753606674030076e-06
4646,1.9512617095111596e-06
4649,1.7670029612657682e-05
2601,2.1868625724512152e-06
2603,1.480059983631048e-06
554,2.893665161271383e-06
4654,1.7156608465711037e-06
4659,5.6912401162188395e-06
4661,2.261879423243527e-06
566,2.8936651612713827e-06
4662,1.9512617095111596e-06
2616,1.480059983631048e-06
4664,1.480059983631048e-06
570,3.1953296633415e-05
571,3.195329663341508e-05
4668,2.0262785603034713e-06
4663,1.9512617095111596e-06
2622,2.5244384010166186e-06
4666,1.7156608465711037e-06
576,1.480059983631048e-06
2625,3.2591522045029676e-05
4667,2.0262785603034713e-06
2623,4.935693684349716e-06
2628,3.3332362721438258e-06
581,1.480059983631048e-06
4669,2.447746285779477e-06
2631,3.3332362721438258e-06
2632,2.6906894156039643e-06
585,1.480059983631048e-06
4681,1.480059983631048e-06
2635,2.9533226379269334e-05
588,1.480059983631048e-06
2637,1.480059983631048e-06
4680,1.480059983631048e-06
2633,3.3533741023815094e-06
2634,2.1168684198489416e-06
587,2.893665161271383e-06
2642,6.41134933414095e-05
593,2.8620142295820206e-06
2644,1.480059983631048e-06
4694,6.399053544635735e-06
2647,4.54773860353055e-05
602,1.480059983631048e-06
4698,1.480059983631048e-06
605,2.893665161271384e-06
606,2.3753606674030076e-06
2657,1.9397689247411737e-06
610,2.186862572451216e-06
2659,1.480059983631048e-06
2658,2.893665161271383e-06
4707,3.5279578641163747e-06
2661,2.893665161271383e-06
2665,1.480059983631048e-06
2666,2.1168684198489416e-06
2669,1.9397689247411737e-06
2670,2.4064394167881127e-06
623,4.924392937891943e-05
